function,F,CR,run,best_fitness
Sphere,0.2,0.1,1,2.53131e-18
Sphere,0.2,0.1,2,4.17322e-08
Sphere,0.2,0.1,3,2.22212e-18
Sphere,0.2,0.1,4,3.08023e-09
Sphere,0.2,0.1,5,2.95016e-18
Sphere,0.2,0.1,6,5.25988e-18
Sphere,0.2,0.1,7,3.56526e-18
Sphere,0.2,0.1,8,1.82297e-18
Sphere,0.2,0.1,9,3.88659e-18
Sphere,0.2,0.1,10,5.99358e-18
Sphere,0.2,0.3,1,8.167e-15
Sphere,0.2,0.3,2,4.72295e-15
Sphere,0.2,0.3,3,2.78931e-23
Sphere,0.2,0.3,4,5.00882e-18
Sphere,0.2,0.3,5,0.0228416
Sphere,0.2,0.3,6,0.0370795
Sphere,0.2,0.3,7,3.16887e-05
Sphere,0.2,0.3,8,2.554e-05
Sphere,0.2,0.3,9,0.0497595
Sphere,0.2,0.3,10,2.1331e-09
Sphere,0.2,0.5,1,0.000127674
Sphere,0.2,0.5,2,0.122063
Sphere,0.2,0.5,3,0.0513129
Sphere,0.2,0.5,4,5.46323e-21
Sphere,0.2,0.5,5,0.17717
Sphere,0.2,0.5,6,5.62242e-05
Sphere,0.2,0.5,7,0.0051111
Sphere,0.2,0.5,8,0.398153
Sphere,0.2,0.5,9,2.66658
Sphere,0.2,0.5,10,6.12848e-09
Sphere,0.2,0.7,1,0.285977
Sphere,0.2,0.7,2,2.44389
Sphere,0.2,0.7,3,48.7651
Sphere,0.2,0.7,4,8.00588
Sphere,0.2,0.7,5,297.575
Sphere,0.2,0.7,6,0.00552188
Sphere,0.2,0.7,7,81.6478
Sphere,0.2,0.7,8,2.66455
Sphere,0.2,0.7,9,14.5174
Sphere,0.2,0.7,10,6.58191
Sphere,0.2,0.9,1,1608.67
Sphere,0.2,0.9,2,1776.07
Sphere,0.2,0.9,3,1364.06
Sphere,0.2,0.9,4,1171.1
Sphere,0.2,0.9,5,1295.17
Sphere,0.2,0.9,6,2364.63
Sphere,0.2,0.9,7,2258.04
Sphere,0.2,0.9,8,3218.05
Sphere,0.2,0.9,9,1509.62
Sphere,0.2,0.9,10,622.924
Sphere,0.4,0.1,1,9.32629e-14
Sphere,0.4,0.1,2,2.15927e-13
Sphere,0.4,0.1,3,8.88882e-14
Sphere,0.4,0.1,4,1.59736e-13
Sphere,0.4,0.1,5,1.03285e-13
Sphere,0.4,0.1,6,7.7136e-14
Sphere,0.4,0.1,7,1.00088e-13
Sphere,0.4,0.1,8,1.59229e-13
Sphere,0.4,0.1,9,1.26562e-13
Sphere,0.4,0.1,10,1.25877e-13
Sphere,0.4,0.3,1,3.71778e-17
Sphere,0.4,0.3,2,7.16288e-17
Sphere,0.4,0.3,3,5.5087e-17
Sphere,0.4,0.3,4,1.08026e-16
Sphere,0.4,0.3,5,2.51393e-17
Sphere,0.4,0.3,6,3.88275e-17
Sphere,0.4,0.3,7,9.76856e-17
Sphere,0.4,0.3,8,4.89249e-17
Sphere,0.4,0.3,9,1.00766e-16
Sphere,0.4,0.3,10,7.72498e-17
Sphere,0.4,0.5,1,2.48364e-17
Sphere,0.4,0.5,2,1.46267e-17
Sphere,0.4,0.5,3,2.66734e-17
Sphere,0.4,0.5,4,5.82588e-17
Sphere,0.4,0.5,5,4.59986e-17
Sphere,0.4,0.5,6,7.87042e-17
Sphere,0.4,0.5,7,6.67988e-17
Sphere,0.4,0.5,8,2.93652e-17
Sphere,0.4,0.5,9,2.11315e-17
Sphere,0.4,0.5,10,4.05381e-17
Sphere,0.4,0.7,1,4.35662e-17
Sphere,0.4,0.7,2,2.86793e-17
Sphere,0.4,0.7,3,1.51794e-16
Sphere,0.4,0.7,4,3.54281e-17
Sphere,0.4,0.7,5,2.52774e-17
Sphere,0.4,0.7,6,7.33987e-17
Sphere,0.4,0.7,7,4.41896e-17
Sphere,0.4,0.7,8,1.91771e-17
Sphere,0.4,0.7,9,1.31856e-17
Sphere,0.4,0.7,10,4.68976e-17
Sphere,0.4,0.9,1,7.77913e-06
Sphere,0.4,0.9,2,0.00493325
Sphere,0.4,0.9,3,0.09545
Sphere,0.4,0.9,4,4.53094e-12
Sphere,0.4,0.9,5,2.37196e-10
Sphere,0.4,0.9,6,0.000621132
Sphere,0.4,0.9,7,0.0830004
Sphere,0.4,0.9,8,5.25432e-13
Sphere,0.4,0.9,9,0.011784
Sphere,0.4,0.9,10,0.211309
Sphere,0.6,0.1,1,1.29689e-08
Sphere,0.6,0.1,2,1.38533e-08
Sphere,0.6,0.1,3,1.05392e-08
Sphere,0.6,0.1,4,9.56801e-09
Sphere,0.6,0.1,5,1.18043e-08
Sphere,0.6,0.1,6,9.53822e-09
Sphere,0.6,0.1,7,1.24178e-08
Sphere,0.6,0.1,8,8.33525e-09
Sphere,0.6,0.1,9,6.03237e-09
Sphere,0.6,0.1,10,1.04256e-08
Sphere,0.6,0.3,1,2.20737e-07
Sphere,0.6,0.3,2,1.18443e-07
Sphere,0.6,0.3,3,1.60889e-07
Sphere,0.6,0.3,4,1.54824e-07
Sphere,0.6,0.3,5,2.79769e-07
Sphere,0.6,0.3,6,1.6676e-07
Sphere,0.6,0.3,7,1.21789e-07
Sphere,0.6,0.3,8,1.37654e-07
